Left,Right
Detroit Titans,Milwaukee Panthers
Georgia State Panthers,Louisiana-Monroe Warhawks
South Carolina Gamecocks,Missouri Tigers
VMI Keydets,Wofford Terriers
IUPUI Jaguars,Youngstown State Penguins
Appalachian State Mountaineers,Texas State Bobcats
Coastal Carolina Chanticleers,UT Arlington Mavericks
Columbia Lions,Elmira Soaring Eagles
Davidson Wildcats,VCU Rams
Evansville Aces,Indiana State Sycamores
Liberty Flames,Jacksonville Dolphins
Loyola Chicago Ramblers,Illinois State Redbirds
Loyola Maryland Greyhounds,Army West Point Black Knights
Marquette Golden Eagles,Seton Hall Pirates
Miami (FL) Hurricanes,Wake Forest Demon Deacons
Monmouth Hawks,Manhattan Jaspers
Navy Midshipmen,Boston University Terriers
UNCW Seahawks,Drexel Dragons
Penn Quakers,Princeton Tigers
Western Michigan Broncos,Toledo Rockets
Winthrop Eagles,High Point Panthers
Sacred Heart Pioneers,Bryant Bulldogs
Iowa Hawkeyes,Ohio State Buckeyes
Oakland Golden Grizzlies,Green Bay Phoenix
San Jose State Spartans,Boise State Broncos
Albany Great Danes,Maine Black Bears
Longwood Lancers,Charleston Southern Buccaneers
North Dakota Fighting Hawks,Western Illinois Leathernecks
Chicago State Cougars,California Baptist Lancers
Holy Cross Crusaders,Lafayette Leopards
Alabama Crimson Tide,Texas A&M Aggies
Air Force Falcons,San Diego State Aztecs
Little Rock Trojans,South Alabama Jaguars
Charleston Cougars,Delaware Fightin' Blue Hens
Colgate Raiders,Lehigh Mountain Hawks
Colorado State Rams,New Mexico Lobos
Duquesne Dukes,Saint Joseph's Hawks
Florida A&M Rattlers,Savannah State Tigers
Florida Atlantic Owls,Charlotte 49ers
George Washington Colonials,Richmond Spiders
Howard Bison,Bethune-Cookman Wildcats
James Madison Dukes,Towson Tigers
Mount St. Mary's Mountaineers,Central Connecticut State Blue Devils
Northern Colorado Bears,Montana Grizzlies
San Diego Toreros,Pepperdine Waves
Southern Utah Thunderbirds,Northern Arizona Lumberjacks
Southern Illinois Salukis,Valparaiso Crusaders
St. Francis Brooklyn Terriers,Saint Francis U Red Flash
Wagner Seahawks,Fairleigh Dickinson Knights
William & Mary Tribe,Northeastern Huskies
Hampton Pirates,UNC Asheville Bulldogs
Central Arkansas Bears,Lamar Cardinals
Maryland Eastern Shore Hawks,North Carolina Central Eagles
UIC Flames,Cleveland State Vikings
Delaware State Hornets,North Carolina A&T Aggies
Central Michigan Chippewas,Bowling Green Falcons
Coppin State Eagles,Norfolk State Spartans
LIU Brooklyn Blackbirds,Robert Morris Colonials
Morgan State Bears,South Carolina State Bulldogs
Nicholls Colonels,Houston Baptist Huskies
Radford Highlanders,Presbyterian Blue Hose
St. Bonaventure Bonnies,Fordham Rams
UT Martin Skyhawks,Austin Peay Governors
Chattanooga Mocs,Samford Bulldogs
North Alabama Lions,NJIT Highlanders
Mercer Bears,East Tennessee State Buccaneers
Northern Illinois Huskies,Akron Zips
Arkansas State Red Wolves,Troy Trojans
Georgia Southern Eagles,Louisiana Ragin' Cajuns
Jacksonville State Gamecocks,SIUE Cougars
UNCG Spartans,Furman Paladins
North Florida Ospreys,FGCU Eagles
Southeastern Louisiana Lions,Abilene Christian Wildcats
Gardner-Webb Runnin' Bulldogs,USC Upstate Spartans
Lipscomb Bisons,Stetson Hatters
New Orleans Privateers,McNeese State Cowboys
South Dakota State Jackrabbits,Oral Roberts Golden Eagles
Mississippi Valley State Delta Devils,Alabama A&M Bulldogs
Southeast Missouri State Redhawks,Murray State Racers
Stephen F. Austin Lumberjacks,Northwestern State Demons
Massachusetts-Lowell River Hawks,UMBC Retrievers
Arkansas Razorbacks,LSU Tigers
Belmont Bruins,Eastern Kentucky Colonels
Grambling State Tigers,Southern University Jaguars
La Salle Explorers,Saint Louis Billikens
New Mexico State Aggies,Bakersfield Roadrunners
Prairie View A&M Panthers,Texas Southern Tigers
Stanford Cardinal,Arizona State Sun Devils
Syracuse Orange,Georgia Tech Yellow Jackets
Wyoming Cowboys,Utah State Aggies
Jackson State Tigers,Alcorn State Braves
Sam Houston State Bearkats,UIW Cardinals
Dartmouth Big Green,Harvard Crimson
Elon Phoenix,Hofstra Pride
Long Beach State 49ers,UC Davis Aggies
Marshall Thundering Herd,Western Kentucky Hilltoppers
Stony Brook Seawolves,New Hampshire Wildcats
Vermont Catamounts,Hartford Hawks
Bradley Braves,Missouri State Bears
Cincinnati Bearcats,Connecticut Huskies
Houston Cougars,Wichita State Shockers
UT Rio Grande Valley Vaqueros,Grand Canyon Antelopes
Utah Runnin' Utes,Washington State Cougars
UAPB Golden Lions,Alabama State Hornets
Kentucky Wildcats,Vanderbilt Commodores
Tennessee State Tigers,Morehead State Eagles
Tennessee Tech Golden Eagles,Eastern Illinois Panthers
BYU Cougars,Santa Clara Broncos
Cal State Fullerton Titans,UC Irvine Anteaters
Utah Valley Wolverines,Seattle Redhawks
Cal Poly Mustangs,CSUN Matadors
Colorado Buffaloes,Washington Huskies
Loyola Marymount Lions,Saint Mary's Gaels
Portland Pilots,Pacific Tigers
UC Santa Barbara Gauchos,UC Riverside Highlanders
Sacramento State Hornets,Idaho State Bengals
Portland State Vikings,Weber State Wildcats
Saint Peter's Peacocks,Marist Red Foxes
Canisius Golden Griffins,Iona Gaels
Niagara Purple Eagles,Rider Broncs
Quinnipiac Bobcats,Fairfield Stags
South Dakota Coyotes,Purdue Fort Wayne Mastodons
Dayton Flyers,Massachusetts Minutemen
UCF Knights,East Carolina Pirates
UNI Panthers,Drake Bulldogs
Rhode Island Rams,George Mason Patriots
Tulane Green Wave,Memphis Tigers
Michigan Wolverines,Northwestern Wildcats
Brown Bears,Johnson & Wales (RI) Wildcats
Bucknell Bison,Holy Cross Crusaders
Siena Saints,Monmouth Hawks
Howard Bison,Morgan State Bears
Coppin State Eagles,South Carolina State Bulldogs
Maryland Eastern Shore Hawks,North Carolina A&T Aggies
Norfolk State Spartans,Bethune-Cookman Wildcats
Delaware State Hornets,North Carolina Central Eagles
UAPB Golden Lions,Alabama A&M Bulldogs
Grambling State Tigers,Alcorn State Braves
Jackson State Tigers,Southern University Jaguars
Mississippi Valley State Delta Devils,Alabama State Hornets
Montana State Bobcats,Northern Colorado Bears
Oklahoma State Cowboys,Baylor Bears
Providence Friars,Seton Hall Pirates
Akron Zips,Eastern Michigan Eagles
Bowling Green Falcons,Ball State Cardinals
Cincinnati Bearcats,South Florida Bulls
Fordham Rams,Saint Louis Billikens
Georgia Bulldogs,Kentucky Wildcats
Illinois State Redbirds,Southern Illinois Salukis
Ohio Bobcats,Kent State Golden Flashes
Purdue Boilermakers,Rutgers Scarlet Knights
Toledo Rockets,Miami (OH) RedHawks
Howard Bison,Morgan State Bears
Loyola Chicago Ramblers,Valparaiso Crusaders
Northern Illinois Huskies,Central Michigan Chippewas
Georgetown Hoyas,Marquette Golden Eagles
Boise State Broncos,Nevada Wolf Pack
Ole Miss Rebels,LSU Tigers
Saint Joseph's Hawks,Davidson Wildcats
San Diego State Aztecs,New Mexico Lobos
Rhode Island Rams,St. Bonaventure Bonnies
Army West Point Black Knights,Colgate Raiders
Jacksonville Dolphins,North Alabama Lions
Lafayette Leopards,Navy Midshipmen
Lehigh Mountain Hawks,American University Eagles
Loyola Maryland Greyhounds,Boston University Terriers
Maine Black Bears,Hartford Hawks
Massachusetts Minutemen,George Mason Patriots
UMBC Retrievers,Binghamton Bearcats
UNC Asheville Bulldogs,Campbell Fighting Camels
New Hampshire Wildcats,Vermont Catamounts
Penn State Nittany Lions,Iowa Hawkeyes
Presbyterian Blue Hose,Hampton Pirates
Richmond Spiders,Duquesne Dukes
Stetson Hatters,North Florida Ospreys
Texas A&M Aggies,Auburn Tigers
Winthrop Eagles,Longwood Lancers
High Point Panthers,USC Upstate Spartans
NJIT Highlanders,Lipscomb Bisons
Kennesaw State Owls,Liberty Flames
Massachusetts-Lowell River Hawks,Albany Great Danes
McNeese State Cowboys,Nicholls Colonels
Sam Houston State Bearkats,Texas A&M-Corpus Christi Islanders
Abilene Christian Wildcats,Houston Baptist Huskies
Bradley Braves,Drake Bulldogs
La Salle Explorers,George Washington Colonials
New Orleans Privateers,Stephen F. Austin Lumberjacks
UNI Panthers,Indiana State Sycamores
Southeastern Louisiana Lions,Lamar Cardinals
Missouri State Bears,Evansville Aces
VCU Rams,Dayton Flyers
North Dakota Fighting Hawks,South Dakota State Jackrabbits
UIW Cardinals,Central Arkansas Bears
DePaul Blue Demons,Butler Bulldogs
Denver Pioneers,North Dakota State Bison
UC Irvine Anteaters,Long Beach State 49ers
San Jose State Spartans,Utah State Aggies
Wichita State Shockers,UCF Knights
Air Force Falcons,UNLV Runnin' Rebels
Cleveland State Vikings,Northern Kentucky Norse
Delaware Fightin' Blue Hens,James Madison Dukes
Drexel Dragons,Towson Tigers
East Tennessee State Buccaneers,VMI Keydets
Hofstra Pride,UNCW Seahawks
Marshall Thundering Herd,Florida Atlantic Owls
Monmouth Hawks,Fairfield Stags
Charlotte 49ers,Southern Miss Golden Eagles
Northeastern Huskies,Charleston Cougars
Old Dominion Monarchs,Louisiana Tech Bulldogs
Siena Saints,Niagara Purple Eagles
Saint Peter's Peacocks,Manhattan Jaspers
Tennessee Tech Golden Eagles,Tennessee State Tigers
Troy Trojans,Georgia Southern Eagles
Youngstown State Penguins,Wright State Raiders
Quinnipiac Bobcats,Canisius Golden Griffins
Eastern Kentucky Colonels,UT Martin Skyhawks
Middle Tennessee Blue Raiders,UTSA Roadrunners
Samford Bulldogs,Citadel Bulldogs
Western Carolina Catamounts,UNCG Spartans
Morehead State Eagles,Southeast Missouri State Redhawks
Eastern Illinois Panthers,Murray State Racers
Oral Roberts Golden Eagles,South Dakota Coyotes
South Alabama Jaguars,Georgia State Panthers
Texas State Bobcats,Little Rock Trojans
Chattanooga Mocs,Mercer Bears
UT Arlington Mavericks,Arkansas State Red Wolves
Western Illinois Leathernecks,Omaha Mavericks
Western Kentucky Hilltoppers,FIU Golden Panthers
Green Bay Phoenix,IUPUI Jaguars
Milwaukee Panthers,UIC Flames
Jacksonville State Gamecocks,Belmont Bruins
Northern Arizona Lumberjacks,Sacramento State Hornets
Southern Utah Thunderbirds,Portland State Vikings
SIUE Cougars,Austin Peay Governors
Grand Canyon Antelopes,Chicago State Cougars
Pacific Tigers,San Francisco Dons
Radford Highlanders,Gardner-Webb Runnin' Bulldogs
Weber State Wildcats,Idaho State Bengals
Utah Valley Wolverines,UT Rio Grande Valley Vaqueros
Arizona State Sun Devils,Oregon State Beavers
UC Davis Aggies,UC Santa Barbara Gauchos
Cal State Fullerton Titans,UC Riverside Highlanders
CSUN Matadors,Hawaii Rainbow Warriors
Portland Pilots,San Diego Toreros
Seattle Redhawks,New Mexico State Aggies
Bakersfield Roadrunners,UMKC Kangaroos
Pepperdine Waves,BYU Cougars
Saint Mary's Gaels,Santa Clara Broncos
Iona Gaels,Marist Red Foxes
Rutgers Scarlet Knights,Northwestern Wildcats
Saint Louis Billikens,Saint Joseph's Hawks
Toledo Rockets,Ohio Bobcats
Lehigh Mountain Hawks,Bucknell Bison
Northeastern Huskies,UNCW Seahawks
Holy Cross Crusaders,Loyola Maryland Greyhounds
Davidson Wildcats,Richmond Spiders
Boston University Terriers,Colgate Raiders
Cleveland State Vikings,Wright State Raiders
Fairfield Stags,Canisius Golden Griffins
Maine Black Bears,Stony Brook Seawolves
UMBC Retrievers,Albany Great Danes
Vermont Catamounts,Binghamton Bearcats
VMI Keydets,Western Carolina Catamounts
Green Bay Phoenix,UIC Flames
Youngstown State Penguins,Northern Kentucky Norse
Cornell Big Red,Columbia Lions
American University Eagles,Lafayette Leopards
Coastal Carolina Chanticleers,Appalachian State Mountaineers
Detroit Titans,Oakland Golden Grizzlies
Drexel Dragons,James Madison Dukes
Evansville Aces,Illinois State Redbirds
Hartford Hawks,Massachusetts-Lowell River Hawks
Indiana State Sycamores,Loyola Chicago Ramblers
Quinnipiac Bobcats,Niagara Purple Eagles
Army West Point Black Knights,Navy Midshipmen
Bowling Green Falcons,Western Michigan Broncos
Kent State Golden Flashes,Northern Illinois Huskies
La Salle Explorers,Rhode Island Rams
McNeese State Cowboys,Southeastern Louisiana Lions
Louisiana-Monroe Warhawks,Louisiana Ragin' Cajuns
Samford Bulldogs,Mercer Bears
Southern Utah Thunderbirds,Sacramento State Hornets
UT Arlington Mavericks,Little Rock Trojans
Troy Trojans,Georgia State Panthers
North Dakota State Bison,North Dakota Fighting Hawks
Brown Bears,Yale Bulldogs
Central Connecticut State Blue Devils,Saint Francis U Red Flash
Miami (OH) RedHawks,Akron Zips
East Tennessee State Buccaneers,UNCG Spartans
Hofstra Pride,Charleston Cougars
Kansas State Wildcats,TCU Horned Frogs
Loyola Marymount Lions,Pepperdine Waves
Northern Arizona Lumberjacks,Portland State Vikings
Presbyterian Blue Hose,Longwood Lancers
South Alabama Jaguars,Georgia Southern Eagles
St. Francis Brooklyn Terriers,Sacred Heart Pioneers
Valparaiso Crusaders,UNI Panthers
Wagner Seahawks,Mount St. Mary's Mountaineers
William & Mary Tribe,Elon Phoenix
NJIT Highlanders,Jacksonville Dolphins
Bryant Bulldogs,Robert Morris Colonials
North Carolina A&T Aggies,Morgan State Bears
UIW Cardinals,Stephen F. Austin Lumberjacks
Eastern Illinois Panthers,Austin Peay Governors
Florida A&M Rattlers,Maryland Eastern Shore Hawks
Butler Bulldogs,St. John's Red Storm
Central Michigan Chippewas,Ball State Cardinals
LIU Brooklyn Blackbirds,Fairleigh Dickinson Knights
St. Bonaventure Bonnies,Dayton Flyers
Chattanooga Mocs,Citadel Bulldogs
USC Upstate Spartans,Winthrop Eagles
North Alabama Lions,Stetson Hatters
Kennesaw State Owls,FGCU Eagles
Bethune-Cookman Wildcats,Delaware State Hornets
North Carolina Central Eagles,Coppin State Eagles
UNC Asheville Bulldogs,Radford Highlanders
Texas State Bobcats,Arkansas State Red Wolves
Washington Huskies,California Golden Bears
Eastern Washington Eagles,Montana State Bobcats
South Carolina State Bulldogs,Howard Bison
Boise State Broncos,Fresno State Bulldogs
Charleston Southern Buccaneers,Campbell Fighting Camels
Central Arkansas Bears,Nicholls Colonels
New Mexico Lobos,Wyoming Cowboys
CSUN Matadors,UC Irvine Anteaters
Prairie View A&M Panthers,Jackson State Tigers
Alabama A&M Bulldogs,Alabama State Hornets
Texas A&M-Corpus Christi Islanders,New Orleans Privateers
Savannah State Tigers,Norfolk State Spartans
Alcorn State Braves,Mississippi Valley State Delta Devils
VCU Rams,Massachusetts Minutemen
Morehead State Eagles,UT Martin Skyhawks
Belmont Bruins,Tennessee State Tigers
Southern University Jaguars,UAPB Golden Lions
Abilene Christian Wildcats,Northwestern State Demons
Delaware Fightin' Blue Hens,Towson Tigers
Eastern Kentucky Colonels,Southeast Missouri State Redhawks
George Mason Patriots,Fordham Rams
Liberty Flames,North Florida Ospreys
Rider Broncs,Manhattan Jaspers
Milwaukee Panthers,IUPUI Jaguars
Wofford Terriers,Furman Paladins
Gardner-Webb Runnin' Bulldogs,Hampton Pirates
UNLV Runnin' Rebels,San Jose State Spartans
UC Davis Aggies,Cal Poly Mustangs
Houston Baptist Huskies,Sam Houston State Bearkats
Western Illinois Leathernecks,Purdue Fort Wayne Mastodons
SIUE Cougars,Murray State Racers
UC Riverside Highlanders,Hawaii Rainbow Warriors
Jacksonville State Gamecocks,Tennessee Tech Golden Eagles
Grand Canyon Antelopes,UMKC Kangaroos
Saint Mary's Gaels,San Diego Toreros
Utah State Aggies,Colorado State Rams
Weber State Wildcats,Northern Colorado Bears
Utah Valley Wolverines,New Mexico State Aggies
Texas Southern Tigers,Grambling State Tigers
Idaho Vandals,Montana Grizzlies
Long Beach State 49ers,Cal State Fullerton Titans
Pacific Tigers,Santa Clara Broncos
Seattle Redhawks,UT Rio Grande Valley Vaqueros
Bakersfield Roadrunners,Chicago State Cougars
San Francisco Dons,BYU Cougars
Monmouth Hawks,Iona Gaels
Drake Bulldogs,Missouri State Bears
George Washington Colonials,Duquesne Dukes
Southern Illinois Salukis,Bradley Braves
Denver Pioneers,Oral Roberts Golden Eagles
Omaha Mavericks,South Dakota Coyotes
Howard Bison,Harvard Crimson
Fairleigh Dickinson Knights,Mount St. Mary's Mountaineers
Winthrop Eagles,UNC Asheville Bulldogs
LIU Brooklyn Blackbirds,St. Francis Brooklyn Terriers
Central Connecticut State Blue Devils,Robert Morris Colonials
Sacred Heart Pioneers,Wagner Seahawks
USC Upstate Spartans,Presbyterian Blue Hose
Bethune-Cookman Wildcats,Maryland Eastern Shore Hawks
North Carolina Central Eagles,Morgan State Bears
Florida A&M Rattlers,Delaware State Hornets
Bryant Bulldogs,Saint Francis U Red Flash
Boston University Terriers,American University Eagles
Liberty Flames,North Alabama Lions
Manhattan Jaspers,Marist Red Foxes
North Florida Ospreys,NJIT Highlanders
Prairie View A&M Panthers,Grambling State Tigers
Texas Southern Tigers,Jackson State Tigers
Longwood Lancers,Radford Highlanders
FGCU Eagles,Stetson Hatters
Lipscomb Bisons,Kennesaw State Owls
North Carolina A&T Aggies,Coppin State Eagles
South Carolina State Bulldogs,Norfolk State Spartans
Alcorn State Braves,UAPB Golden Lions
Southern University Jaguars,Mississippi Valley State Delta Devils
Idaho State Bengals,Northern Colorado Bears
Akron Zips,Central Michigan Chippewas
Ball State Cardinals,Miami (OH) RedHawks
Eastern Michigan Eagles,Bowling Green Falcons
Kent State Golden Flashes,Toledo Rockets
Ohio Bobcats,Western Michigan Broncos
Niagara Purple Eagles,Saint Peter's Peacocks
Air Force Falcons,Boise State Broncos
UNLV Runnin' Rebels,New Mexico Lobos
Fresno State Bulldogs,San Diego State Aztecs
Boston University Terriers,American University Eagles
Army West Point Black Knights,Holy Cross Crusaders
Bradley Braves,Illinois State Redbirds
Bucknell Bison,Loyola Maryland Greyhounds
Colgate Raiders,Lafayette Leopards
Davidson Wildcats,George Washington Colonials
Dayton Flyers,George Mason Patriots
Fordham Rams,La Salle Explorers
Hartford Hawks,New Hampshire Wildcats
Indiana State Sycamores,Valparaiso Crusaders
Massachusetts Minutemen,St. Bonaventure Bonnies
Navy Midshipmen,Lehigh Mountain Hawks
Rhode Island Rams,VCU Rams
Saint Joseph's Hawks,Richmond Spiders
